"ListID";"Created";"Date";"TimeStart";"TimeEnd";"NameCS";"Note";"Observers";"SiteName";"SiteNote";"Latitude";"Longitude";"CoordinatesSetByUser";"DistanceCovered";"MunicipalityPart";"Municipality";"District";"Region";"ListProjects";"ItemID";"Rarity";"SpeciesID";"SpeciesNameLA";"SpeciesName";"ItemTime";"ItemLatitude";"ItemLongitude";"Count";"CountMin";"CountMax";"CountExact";"Age";"Sex";"Activity";"Group";"RingMark";"ItemNote";"TagUncertain";"TagFirstArrivals";"PhotosCount";"CommentsCount";"ItemProjects";"ListLink";"ItemLink"
"4b8aaf";"2026-05-02 08:51:16";"2026-05-02";"08:22:24";"08:22:35";"Vybraná pozorování";"";"Leoš Řičánek, Marie Řičánková";"Vlasatice - komín obecního úřadu";"";"48.934052";"16.483854";1;"";"Vlasatice";"Vlasatice";"Brno-venkov";"Jihomoravský kraj";"Čapí hnízda";16432722;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"08:22:25";"48.934052";"16.483854";"1";"1";"1";"1";"ad.";"";"C13 sedí na hnízdě";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/4b8aaf";"https://cso.cz/16432722"
"54d0f9";"2026-05-02 10:07:47";"2026-05-02";"08:15:00";"09:00:00";"Vybraná pozorování";"";"Hana Miklíková";"";"";"49.273593";"17.588059";1;"0,0";"Lechotice";"Lechotice";"Kroměříž";"Zlínský kraj";"Čapí hnízda";16433157;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"B9 stavba hnízda";1;"Oba bez kroužku.";"Od 29.4. pozorován přílet čápa. Usadil se na sloupu elektrického vedení na návsi. Na sloupu se zdržuje přes den i v noci. Dne 30.4. se objevil druhý čáp na střeše domu, klapali spolu. Na noc pouze jeden. Od 1.5. jsou na sloupu oba, přenocovali a aktivně staví hnízdo.";0;0;1;0;"Čapí hnízda";"https://cso.cz/54d0f9";"https://cso.cz/16433157"
"cca28d";"2026-05-02 07:36:57";"2026-05-02";"07:35:00";"";"Vybraná pozorování";"";"Věra Poklopová";"";"";"50.457978";"15.430262";1;"";"Radim";"Radim";"Jičín";"Královéhradecký kraj";"Čapí hnízda";16432096;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"egg";"";"C15 hnízdo s vejci";1;"";"";0;0;1;0;"Čapí hnízda";"https://cso.cz/cca28d";"https://cso.cz/16432096"
"9d38eb";"2026-05-02 10:53:21";"2026-05-02";"07:00:00";"10:20:00";"Kompletní seznam";"VPZ 2026";"Meda Višňáková, Michal Pavelka";"Stráž pod Ralskem - severní okolí";"Vypuštěné nádrže Horecký rybník a Velká rašelina";"50.703118";"14.801033";1;"5 431,0";"Stráž pod Ralskem";"Stráž pod Ralskem";"Česká Lípa";"Liberecký kraj";"";16433779;"obvyklé";"311";"Ciconia nigra";"čáp černý";"";"";"";"";"";"";"0";"";"";"";1;"";"";0;0;0;0;"";"https://cso.cz/9d38eb";"https://cso.cz/16433779"
"7b41b8";"2026-05-02 07:56:31";"2026-05-02";"06:59:00";"07:05:00";"Vybraná pozorování";"";"Věra Poklopová";"";"";"50.609799";"15.503243";1;"";"Jilemnice";"Jilemnice";"Semily";"Liberecký kraj";"Čapí hnízda";16432338;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"1";"1";"1";"1";"ad.";"";"B9 stavba hnízda";1;"";"Samice opravuje hnízdo a vyhazuje vajíčka. Samcem byla vyhnána.";0;0;3;0;"Čapí hnízda";"https://cso.cz/7b41b8";"https://cso.cz/16432338"
"e493cf";"2026-05-02 12:35:47";"2026-05-02";"06:30:00";"10:30:00";"Vybraná pozorování";"";"David Gergely";"Ivanovický rybník a okolí";"";"49.322128";"17.085199";1;"";"Ivanovice na Hané";"Ivanovice na Hané";"Vyškov";"Jihomoravský kraj";"";16434613;"obvyklé";"311";"Ciconia nigra";"čáp černý";"";"";"";"1";"1";"1";"1";"";"";"";1;"";"";0;0;1;0;"";"https://cso.cz/e493cf";"https://cso.cz/16434613"
"f8d3da";"2026-05-02 13:48:11";"2026-05-02";"";"";"Vybraná pozorování";"";"Olga Lysoňková";"";"";"50.609799";"15.503243";1;"";"Jilemnice";"Jilemnice";"Semily";"Liberecký kraj";"Čapí hnízda";16434977;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"1";"1";"1";"1";"ad.";"";"";1;"";"38-minutové video ze řádění cizí čápice 1.5.26, je to čas, kdy jsem i já právě otevřela PC.  Zde je dokument od šikovné paní Marie
https://www.youtube.com/watch?v=D3nCez0ZLPM";0;0;1;0;"Čapí hnízda";"https://cso.cz/f8d3da";"https://cso.cz/16434977"
"5a7333";"2026-05-02 11:56:38";"2026-05-02";"";"";"Vybraná pozorování";"";"Josef Javůrek";"";"";"50.609799";"15.503243";1;"";"Jilemnice";"Jilemnice";"Semily";"Liberecký kraj";"Čapí hnízda";16434498;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"";1;"";"";0;0;1;0;"Čapí hnízda";"https://cso.cz/5a7333";"https://cso.cz/16434498"
"0c4d03";"2026-05-02 06:34:35";"2026-05-01";"23:00:00";"23:30:00";"Vybraná pozorování";"";"Tomáš Prouza";"";"";"50.603816";"15.836027";1;"0,0";"Mladé Buky";"Mladé Buky";"Trutnov";"Královéhradecký kraj";"Čapí hnízda";16431950;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"egg";"";"C15 hnízdo s vejci";1;"";"Po přestávce trvající 9 dní bylo ve 23:09 sneseno druhé vejce (odhaleno ve 23:14).";0;0;1;0;"Čapí hnízda";"https://cso.cz/0c4d03";"https://cso.cz/16431950"
"74661b";"2026-05-01 21:34:47";"2026-05-01";"21:30:00";"";"Vybraná pozorování";"";"Anita Pacourková";"";"";"49.605008";"13.264319";1;"";"Dnešice";"Dnešice";"Plzeň-jih";"Plzeňský kraj";"Čapí hnízda";16431461;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"1";"1";"1";"1";"ad.";"";"";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/74661b";"https://cso.cz/16431461"
